image,caption,object,syntax
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,"child, dress, set, stairs, entry, way","POS: [('A', 'DET'), ('child', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('pink', 'ADJ'), ('dress', 'NOUN'), ('is', 'AUX'), ('climbing', 'VERB'), ('up', 'ADP'), ('a', 'DET'), ('set', 'NOUN'), ('of', 'ADP'), ('stairs', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('entry', 'NOUN'), ('way', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,"child, dress, set, stairs, entry, way","POS: [('A', 'DET'), ('girl', 'NOUN'), ('going', 'VERB'), ('into', 'ADP'), ('a', 'DET'), ('wooden', 'ADJ'), ('building', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .,"child, dress, set, stairs, entry, way","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('climbing', 'VERB'), ('into', 'ADP'), ('a', 'DET'), ('wooden', 'ADJ'), ('playhouse', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .,"child, dress, set, stairs, entry, way","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('climbing', 'VERB'), ('the', 'DET'), ('stairs', 'NOUN'), ('to', 'ADP'), ('her', 'PRON'), ('playhouse', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .,"child, dress, set, stairs, entry, way","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('pink', 'ADJ'), ('dress', 'NOUN'), ('going', 'VERB'), ('into', 'ADP'), ('a', 'DET'), ('wooden', 'ADJ'), ('cabin', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,"dog, dog","POS: [('A', 'DET'), ('black', 'ADJ'), ('dog', 'NOUN'), ('and', 'CCONJ'), ('a', 'DET'), ('spotted', 'VERB'), ('dog', 'NOUN'), ('are', 'AUX'), ('fighting', 'VERB')], Entities: []"
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,"dog, dog","POS: [('A', 'DET'), ('black', 'ADJ'), ('dog', 'NOUN'), ('and', 'CCONJ'), ('a', 'DET'), ('tri', 'ADJ'), ('-', 'ADJ'), ('colored', 'ADJ'), ('dog', 'NOUN'), ('playing', 'VERB'), ('with', 'ADP'), ('each', 'DET'), ('other', 'ADJ'), ('on', 'ADP'), ('the', 'DET'), ('road', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,"dog, dog","POS: [('A', 'DET'), ('black', 'ADJ'), ('dog', 'NOUN'), ('and', 'CCONJ'), ('a', 'DET'), ('white', 'ADJ'), ('dog', 'NOUN'), ('with', 'ADP'), ('brown', 'ADJ'), ('spots', 'NOUN'), ('are', 'AUX'), ('staring', 'VERB'), ('at', 'ADP'), ('each', 'DET'), ('other', 'ADJ'), ('in', 'ADP'), ('the', 'DET'), ('street', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,"dog, dog","POS: [('Two', 'NUM'), ('dogs', 'NOUN'), ('of', 'ADP'), ('different', 'ADJ'), ('breeds', 'NOUN'), ('looking', 'VERB'), ('at', 'ADP'), ('each', 'DET'), ('other', 'ADJ'), ('on', 'ADP'), ('the', 'DET'), ('road', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,"dog, dog","POS: [('Two', 'NUM'), ('dogs', 'NOUN'), ('on', 'ADP'), ('pavement', 'NOUN'), ('moving', 'VERB'), ('toward', 'ADP'), ('each', 'DET'), ('other', 'ADJ'), ('.', 'PUNCT')], Entities: []"
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,"girl, paint, front, rainbow, hands, bowl","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('covered', 'VERB'), ('in', 'ADP'), ('paint', 'NOUN'), ('sits', 'VERB'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('painted', 'VERB'), ('rainbow', 'NOUN'), ('with', 'ADP'), ('her', 'PRON'), ('hands', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('bowl', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,"girl, paint, front, rainbow, hands, bowl","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('is', 'AUX'), ('sitting', 'VERB'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('large', 'ADJ'), ('painted', 'VERB'), ('rainbow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,"girl, paint, front, rainbow, hands, bowl","POS: [('A', 'DET'), ('small', 'ADJ'), ('girl', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('grass', 'NOUN'), ('plays', 'VERB'), ('with', 'ADP'), ('fingerpaints', 'NOUN'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('white', 'ADJ'), ('canvas', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('rainbow', 'NOUN'), ('on', 'ADP'), ('it', 'PRON'), ('.', 'PUNCT')], Entities: []"
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,"girl, paint, front, rainbow, hands, bowl","POS: [('There', 'PRON'), ('is', 'VERB'), ('a', 'DET'), ('girl', 'NOUN'), ('with', 'ADP'), ('pigtails', 'NOUN'), ('sitting', 'VERB'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('rainbow', 'NOUN'), ('painting', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,"girl, paint, front, rainbow, hands, bowl","POS: [('Young', 'ADJ'), ('girl', 'NOUN'), ('with', 'ADP'), ('pigtails', 'NOUN'), ('painting', 'VERB'), ('outside', 'ADV'), ('in', 'ADP'), ('the', 'DET'), ('grass', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,"man, bench, dog","POS: [('A', 'DET'), ('man', 'NOUN'), ('lays', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('bench', 'NOUN'), ('while', 'SCONJ'), ('his', 'PRON'), ('dog', 'NOUN'), ('sits', 'VERB'), ('by', 'ADP'), ('him', 'PRON'), ('.', 'PUNCT')], Entities: []"
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,"man, bench, dog","POS: [('A', 'DET'), ('man', 'NOUN'), ('lays', 'VERB'), ('on', 'ADP'), ('the', 'DET'), ('bench', 'NOUN'), ('to', 'PART'), ('which', 'PRON'), ('a', 'DET'), ('white', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('also', 'ADV'), ('tied', 'VERB'), ('.', 'PUNCT')], Entities: []"
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,"man, bench, dog","POS: [('a', 'DET'), ('man', 'NOUN'), ('sleeping', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('bench', 'NOUN'), ('outside', 'ADV'), ('with', 'ADP'), ('a', 'DET'), ('white', 'ADJ'), ('and', 'CCONJ'), ('black', 'ADJ'), ('dog', 'NOUN'), ('sitting', 'VERB'), ('next', 'ADV'), ('to', 'ADP'), ('him', 'PRON'), ('.', 'PUNCT')], Entities: []"
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .,"man, bench, dog","POS: [('A', 'DET'), ('shirtless', 'NOUN'), ('man', 'NOUN'), ('lies', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('park', 'NOUN'), ('bench', 'NOUN'), ('with', 'ADP'), ('his', 'PRON'), ('dog', 'NOUN'), ('.', 'PUNCT')], Entities: []"
